M2,INPC
28.774,59.8083
29.3109,60.3388
29.829,60.6734
30.1613,61.0186
30.4289,61.2467
30.923,61.6095
31.627,61.8498
31.7013,62.1896
32.094,62.6439
32.0057,63.0753
32.4261,63.6146
32.6579,64.3033
32.6008,64.6598
33.5838,64.617
34.0825,65.0264
34.4749,65.3544
34.6724,65.5044
35.0376,65.6593
35.4592,65.4887
36.4135,65.8767
36.8634,66.49
37.2428,66.7905
38.0134,67.0421
38.3405,67.1349
38.0228,67.7546
38.5352,67.7111
39.2524,68.0574
39.5523,68.4292
39.8136,68.5679
40.3391,68.9022
40.7038,69.1
40.7312,69.3627
40.9056,69.78
41.1828,70.0875
41.6505,70.6544
42.5312,70.9619
42.744,71.2488
43.2869,71.4467
43.7558,71.8977
43.6788,72.0204
44.5063,71.788
44.7924,71.8474
45.4552,71.9515
45.4507,72.1673
45.899,72.5969
46.3318,72.8631
47.2161,73.4679
48.498,73.7837
48.1234,74.2423
48.1975,74.6864
49.4078,74.9395
49.481,75.0526
49.7035,74.8643
50.5268,74.9843
50.5771,75.1808
50.6372,75.6449
51.2936,76.2704
51.9417,76.7986
52.3928,77.4537
53.6481,77.6137
54.0122,77.6165
54.4274,77.8751
55.6243,78.2261
55.6531,78.5047
56.5334,78.3075
57.4586,78.2323
57.7923,78.5385
58.3086,78.6323
58.9815,78.9474
59.9194,79.1412
60.7454,79.7108
61.1815,80.2004
61.7516,80.6707
62.6214,80.7941
63.3683,80.8955
63.6712,81.0141
63.1279,80.6535
64.2029,80.7231
64.3568,80.9445
64.2504,81.3575
65.037,82.1788
65.322,82.5381
66.7337,82.9712
68.8282,83.4511
68.7195,83.8821
69.2615,84.1166
69.7604,84.2986
69.3417,84.2483
70.4347,83.8373
71.066,83.938
71.7751,84.2945
72.518,84.6379
73.0314,85.2951
73.2609,85.6275
74.5143,86.2316
75.499,86.5881
76.1302,86.9894
76.5027,87.248
77.198,87.8804
77.5637,88.0804
78.225,87.9852
77.8066,88.3493
78.3676,88.8417
78.6932,89.3547
80.0088,89.9637
81.2749,90.5767
83.075,91.6063
87.909,92.2407
88.7096,92.4545
88.0943,92.6586
88.7466,93.1916
89.2023,93.5178
89.2413,93.2454
89.3641,93.4171
90.1345,93.6716
90.0587,93.8957
90.6375,94.3667
91.736,94.6522
92.3953,95.1432
93.0099,95.537
92.7957,96.5755
93.2023,97.1341
94.1527,97.8236
93.9125,97.5119
95.1836,96.8975
96.0857,96.8672
97.6931,97.0775
98.5067,97.3471
99.3595,97.8574
99.3734,98.4615
99.2881,99.2504
100,99.7421
100.4546,100.228
101.0246,100.604
101.7026,100.797
102.2792,100.789
102.8058,100.046
103.7273,100.041
104.9962,100.521
106.6445,100.68
108.9757,100.927
109.621,101.608
110.5597,102.707
111.6737,103.551
112.6523,104.284
113.1951,104.496
114.2153,104.556
114.6658,104.228
116.3745,103.899
117.6028,104.378
118.9723,104.964
119.2429,105.279
119.2899,105.743
120.0995,106.278
121.7595,107
121.4176,107.246
121.8469,107.678
122.4528,108.208
122.981,109.002
123.2894,109.074
123.9715,108.711
124.4641,108.645
125.5766,108.609
126.9272,108.918
128.3769,109.328
129.9387,109.848
131.6993,110.872
131.5423,111.508
132.976,112.505
133.9982,112.79
135.0908,113.099
136.9038,112.888
137.9331,112.527
138.433,112.722
139.7163,113.032
140.92,113.438
